Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,SPP_Code,sciName,Height(cm)
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,62
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PPOR,Pseudoplexaura porosa,25
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,27
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,61
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,24
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,23
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,6
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,7
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,55
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,60
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PFLE,Eunicea flexuosa,81
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,24
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,39
2012,7/2/2012,DC,Inner,00,Dade County 5,001,GVEN,Gorgonia ventalina,5
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,42
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,66
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,52
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,12
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,11
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,10
2012,7/2/2012,DC,Inner,00,Dade County 5,001,GVEN,Gorgonia ventalina,5
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,43
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,5
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,7
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PFLE,Eunicea flexuosa,48
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,13
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,57
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,8
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,14
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,14
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,12
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,18
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,63
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,11
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,24
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,18
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,14
2012,7/2/2012,DC,Inner,00,Dade County 5,001,GVEN,Gorgonia ventalina,5
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PFLE,Eunicea flexuosa,42
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,42
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,24
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,18
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PFLE,Eunicea flexuosa,53
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,22
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,71
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,56
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,34
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,6
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,7
2012,7/2/2012,DC,Inner,00,Dade County 5,001,PAME,Pseudopterogorgia americana,14
2012,7/2/2012,DC,Inner,00,Dade County 5,001,GVEN,Gorgonia ventalina,5
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,50
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,36
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PFLE,Eunicea flexuosa,36
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,29
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,13
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,67
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,42
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PAME,Pseudopterogorgia americana,81
2012,7/2/2012,DC,Inner,00,Dade County 5,002,PPOR,Pseudoplexaura porosa,41
