SampleYear,ImageDate,Subregion,Habitat,SiteCode,SiteID,SiteName,StationID,points,BOCT,EOCT,GVEN,OCTO
2003,8/20/2003,PBC,Nearshore,PB1,84,Palm Beach 1,841,694,,,,0.0403
2003,8/20/2003,PBC,Nearshore,PB1,84,Palm Beach 1,842,701,,,,0.0157
2003,8/20/2003,PBC,Nearshore,PB1,84,Palm Beach 1,843,678,,,,0.0265
2003,8/20/2003,PBC,Nearshore,PB1,84,Palm Beach 1,844,651,,,,0.0276
2003,8/18/2003,PBC,Outer,PB2,85,Palm Beach 2,851,661,,,,0.357
2003,8/18/2003,PBC,Outer,PB2,85,Palm Beach 2,852,703,,,,0.2973
2003,8/18/2003,PBC,Outer,PB2,85,Palm Beach 2,853,638,,,,0.1473
2003,8/18/2003,PBC,Outer,PB2,85,Palm Beach 2,854,674,,,,0.2136
2003,8/19/2003,PBC,Outer,PB3,86,Palm Beach 3,861,713,,,,0.3647
2003,8/19/2003,PBC,Outer,PB3,86,Palm Beach 3,862,696,,,,0.2256
2003,8/19/2003,PBC,Outer,PB3,86,Palm Beach 3,863,717,,,,0.3264
2003,8/19/2003,PBC,Outer,PB3,86,Palm Beach 3,864,739,,,,0.2801
2003,6/17/2003,BC,Nearshore,BC1,87,Broward County 1,871,677,,,,0.0576
2003,6/17/2003,BC,Nearshore,BC1,87,Broward County 1,872,586,,,,0.0512
2003,6/17/2003,BC,Nearshore,BC1,87,Broward County 1,873,667,,,,0.0945
2003,6/17/2003,BC,Nearshore,BC1,87,Broward County 1,874,752,,,,0.0359
2003,6/18/2003,BC,Middle,BC2,88,Broward County 2,881,692,,,,0.0708
2003,6/18/2003,BC,Middle,BC2,88,Broward County 2,882,611,,,,0.0376
2003,6/18/2003,BC,Middle,BC2,88,Broward County 2,883,730,,,,0.1055
2003,6/18/2003,BC,Middle,BC2,88,Broward County 2,884,691,,,,0.0666
2003,6/18/2003,BC,Outer,BC3,89,Broward County 3,891,835,,,,0.1653
2003,6/18/2003,BC,Outer,BC3,89,Broward County 3,892,723,,,,0.0788
2003,6/18/2003,BC,Outer,BC3,89,Broward County 3,893,907,,,,0.1114
2003,6/18/2003,BC,Outer,BC3,89,Broward County 3,894,874,,,,0.1064
2003,6/19/2003,BC,Nearshore,BCA,90,Broward County A,901,1844,,,,0.0141
2003,6/19/2003,BC,Nearshore,BCA,90,Broward County A,902,1707,,,,0.0375
2003,6/19/2003,BC,Nearshore,BCA,90,Broward County A,903,1762,,,,0.0244
2003,6/19/2003,BC,Nearshore,BCA,90,Broward County A,904,1769,,,,0.0175
2003,6/24/2003,DC,Inner,DC1,91,Dade County 1,911,596,,,,0.0503
2003,6/24/2003,DC,Inner,DC1,91,Dade County 1,912,654,,,,0.055
2003,6/24/2003,DC,Inner,DC1,91,Dade County 1,913,576,,,,0.0417
2003,6/24/2003,DC,Inner,DC1,91,Dade County 1,914,721,,,,0.0374
2003,6/24/2003,DC,Middle,DC2,92,Dade County 2,921,713,,,,0.1725
2003,6/24/2003,DC,Middle,DC2,92,Dade County 2,922,696,,,,0.1307
2003,6/24/2003,DC,Middle,DC2,92,Dade County 2,923,648,,,,0.1312
2003,6/24/2003,DC,Middle,DC2,92,Dade County 2,924,628,,,,0.1322
2003,6/23/2003,DC,Outer,DC3,93,Dade County 3,931,680,,,,0.1838
2003,6/23/2003,DC,Outer,DC3,93,Dade County 3,932,650,,,,0.1231
2003,6/23/2003,DC,Outer,DC3,93,Dade County 3,933,729,,,,0.1468
2003,6/23/2003,DC,Outer,DC3,93,Dade County 3,934,678,,,,0.0973
2004,7/21/2004,PBC,Nearshore,PB1,84,Palm Beach 1,841,690,,,,0.0768
2004,7/21/2004,PBC,Nearshore,PB1,84,Palm Beach 1,842,697,,,,0.0115
2004,7/21/2004,PBC,Nearshore,PB1,84,Palm Beach 1,843,672,,,,0.0149
2004,7/21/2004,PBC,Nearshore,PB1,84,Palm Beach 1,844,688,,,,0.0189
2004,7/20/2004,PBC,Outer,PB2,85,Palm Beach 2,851,732,,,,0.3497
2004,7/20/2004,PBC,Outer,PB2,85,Palm Beach 2,852,647,,,,0.3972
2004,7/21/2004,PBC,Outer,PB2,85,Palm Beach 2,853,698,,,,0.2493
2004,7/21/2004,PBC,Outer,PB2,85,Palm Beach 2,854,749,,,,0.2069
2004,7/22/2004,PBC,Outer,PB3,86,Palm Beach 3,861,692,,,,0.3685
2004,7/22/2004,PBC,Outer,PB3,86,Palm Beach 3,862,643,,,,0.2302
2004,7/22/2004,PBC,Outer,PB3,86,Palm Beach 3,863,689,,,,0.2932
2004,7/22/2004,PBC,Outer,PB3,86,Palm Beach 3,864,676,,,,0.3151
2004,6/14/2004,BC,Nearshore,BC1,87,Broward County 1,871,564,,,,0.0691
2004,6/14/2004,BC,Nearshore,BC1,87,Broward County 1,872,564,,,,0.0567
2004,6/14/2004,BC,Nearshore,BC1,87,Broward County 1,873,603,,,,0.0299
2004,6/14/2004,BC,Nearshore,BC1,87,Broward County 1,874,581,,,,0.0964
2004,6/3/2004,BC,Middle,BC2,88,Broward County 2,881,631,,,,0.0555
2004,6/3/2004,BC,Middle,BC2,88,Broward County 2,882,608,,,,0.0888
2004,6/3/2004,BC,Middle,BC2,88,Broward County 2,883,626,,,,0.0607
2004,6/3/2004,BC,Middle,BC2,88,Broward County 2,884,594,,,,0.0556
2004,6/9/2004,BC,Outer,BC3,89,Broward County 3,891,653,,,,0.147
2004,6/9/2004,BC,Outer,BC3,89,Broward County 3,892,713,,,,0.115
2004,6/9/2004,BC,Outer,BC3,89,Broward County 3,893,671,,,,0.1639
2004,6/9/2004,BC,Outer,BC3,89,Broward County 3,894,683,,,,0.1215
2004,6/11/2004,BC,Nearshore,BCA,90,Broward County A,901,1675,,,,0.0197
2004,6/11/2004,BC,Nearshore,BCA,90,Broward County A,902,1650,,,,0.0188
